Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.242329,1.08,1.238037,1.21,1.24,1.1115,0.16%
fv1,8.067794,0.56,8.042917,0.86,8.05,0.6769,0.09%
fs1,7.121929,1.83,7.183389,2.81,7.14,2.2356,0.61%
off1,0.467194,14.96,0.458341,24.14,0.392,21.8748,16.92%
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.461389,2.39,-0.459544,3.08,-0.466,2.5875,1.39%
Ixy2,0.002854,183.6,0.004647,160.17,0.00358,171.7591,29.80%
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.158342,3.64,-0.159823,4.75,-0.16,4.1141,0.11%
Iyz2,0.006858,63.12,0.006849,84.05,0.00331,149.3633,106.92%
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.080498,0.93,1.076039,1.08,1.08,1.0119,0.37%
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.221851,2.1,2.214368,2.6,2.22,2.4256,0.25%
my2,0.13202,30.76,0.138285,35.86,0.136,32.9494,1.68%
fv2,5.532353,0.91,5.52937,1.12,5.53,1.0416,0.01%
fs2,8.2549,1.46,8.267372,1.82,8.26,1.6916,0.09%
off2,1.362912,40.76,1.384935,46.93,1.37,44.5933,1.09%
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.12887,8.51,0.118323,10.16,0.127,8.9567,6.83%
Ixy3,0.004014,150.05,-0.003763,182.67,0.000639,990.9884,688.89%
Ixz3,-0.002676,256.61,-0.000193,3706.41,-0.00372,186.9976,94.81%
Iyz3,0.006561,63.01,0.005451,79.18,0.00599,68.6018,9.00%
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.106221,8.11,0.10243,8.71,0.107,8.1704,4.27%
mx3,0.076798,33.4,0.091102,27.97,0.0786,31.9877,15.91%
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.594859,2.22,-0.609473,2.09,-0.601,2.1079,1.41%
Ia3,0.097432,7.45,0.102086,7,0.0988,7.2114,3.33%
fv3,1.955413,1.85,1.960733,1.55,1.97,1.6612,0.47%
fs3,6.387597,1.87,6.354867,1.59,6.34,1.7063,0.23%
off3,0.365849,58.62,0.423707,49.25,0.326,63.2178,29.97%
Ixx4 - 1.0*Iyy4 + 1.0*Iyy5,0.005156,101.53,0.003607,133.5,0.00464,103.6509,22.26%
Ixy4,-0.002927,81.15,-0.007498,27.32,-0.00687,30.0017,9.14%
Ixz4,-0.003795,75.42,0.001174,199,-0.00178,132.0915,165.96%
Iyz4,-0.004699,67.25,-0.00553,42.25,-0.00599,39.5343,7.68%
Izz4 + 1.0*Iyy5,-0.003632,99.77,0.001443,173.27,0.00116,216.3227,24.40%
mx4,-0.024753,26.53,-0.015905,32.17,-0.0219,23.3969,27.37%
my4 + 1.0*mz5,-0.000141,5874.66,-0.009262,59.36,-0.00726,77.0029,27.58%
Ia4,0.033141,12.08,0.030763,7.18,0.0313,7.1472,1.72%
fv4,1.095496,3.29,1.098672,1.37,1.11,1.4061,1.02%
fs4,2.514319,5.27,2.529561,2.16,2.48,2.2869,2.00%
off4,-0.08725,78.18,-0.089672,30.75,-0.102,28.1788,12.09%
Ixx5 - 1.0*Iyy5 + 1.0*Iyy6,0.006487,56.64,0.002315,95.02,0.00293,76.8254,20.99%
Ixy5,-0.000922,184.27,0.000307,360.35,0.00055,203.3751,44.18%
Ixz5,0.002151,83.89,0.00131,87.99,0.000998,117.127,31.26%
Iyz5,0.003598,46.32,0.000489,238.44,0.000716,163.805,31.70%
Izz5 + 1.0*Iyy6,0.005232,54.07,0.000236,1010.52,0.00109,217.0015,78.35%
mx5,0.007868,71.57,-0.002461,194.62,-0.00153,307.6661,60.85%
my5 - 1.0*mz6,-0.031546,15.86,-0.032593,11.92,-0.0309,12.5921,5.48%
Ia5,0.042938,11.11,0.047819,8.02,0.0468,7.8959,2.18%
fv5,1.851385,2.48,1.847078,1.92,1.86,1.8268,0.69%
fs5,3.03621,3.98,3.051215,3.08,3.03,2.9482,0.70%
off5,0.036729,207.77,-0.009738,603.5,-0.0288,194.4682,66.19%
Ixx6 - 1.0*Iyy6,-0.003278,44.71,-0.001008,93.33,-0.00136,71.0549,25.88%
Ixy6,0.000148,518.37,-5.7E-05,869.76,-2E-06,31015.493,2750.00%
Ixz6,0.0014,76.64,0.002167,29.93,0.00226,29.4666,4.12%
Iyz6,0.002012,48,0.000964,62.59,0.000896,68.8983,7.59%
Izz6,0.002624,52.99,0.001511,53.56,0.00185,45.0712,18.32%
mx6,-0.009108,37.21,-0.003003,86.25,-0.00316,83.3765,4.97%
my6,-0.006387,51.79,-0.003105,80.48,-0.00498,51.0892,37.65%
Ia6,0.009503,26.41,0.010917,10.89,0.0105,11.8534,3.97%
fv6,0.637785,3.61,0.643517,1.51,0.65,1.5859,1.00%
fs6,0.240621,61.81,0.293711,27.35,0.282,28.7752,4.15%
off6,0.161569,43.61,0.142367,20.95,0.127,24.669,12.10%
Iam6,0.010225,19.58,0.00958,12.96,0.00964,12.9987,0.62%
fvm6,0.592415,3,0.614205,1.57,0.616,1.6093,0.29%
fsm6,2.062652,5.05,1.981536,3.49,1.95,3.4705,1.62%
